"TARGET";"acqua";"alarm";"alcool";"allarm";"apertura";"aria";"arm";"asciugatura";"autosanificazion";"cambio";"canal";"carico";"ciclo";"complet";"completa";"detergent";"detersion";"dinamica";"disconnesso";"disinfect";"disinfezion";"fast";"fine";"flow";"giri";"ingresso";"irregolar";"liquido";"massima";"minima";"miscelazion";"numero";"otturato";"perdita";"prelievo";"pression";"pulsant";"regolar";"risciacquo";"scarico";"scollegato";"selfdisinfect";"sensor";"sovrappression";"spray";"spruzzator";"ster";"steril";"sterilizzant";"sterilizzazion";"stop";"tanica";"temperatura";"temperaturac";"tenuta";"test";"timeout";"tipo";"valvol";"vasca";"velo";"veloc"
"neg";0;0;0;0;0;0;0;0,0179511284772302;0,0179511284772302;0,00957393518785613;0;0;0;0;0,00547051613272563;0,00547051613272563;0,00547051613272563;0,00547051613272563;0;0;0,0179511284772302;0;0;0;0;0;0;0;0;0;0,0179511284772302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0109410322654513;0;0,00957393518785613;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0,0207184640617145;0;0;0;0,0117404629683049;0,0222192756138973;0,0222192756138973;0;0;0;0;0,00999935898668643;0,00999935898668643;0,00999935898668643;0,00787634431711795;0;0;0,0117404629683049;0;0;0;0;0;0,0207184640617145;0;0;0;0,0117404629683049;0;0;0;0;0;0;0,0043207425580417;0,0101301443167532;0,0173555877541507;0;0;0;0;0;0;0;0;0,00990018883047091;0,0157526886342359;0;0,0222192756138973;0;0,00722544343739747;0;0;0,0207184640617145;0;0;0;0;0,0146755787103811
"neg";0;0;0;0;0;0;0;0,0167104459646286;0,0167104459646286;0,0133683567717029;0;0;0;0;0,0118293761473642;0,0118293761473642;0,0118293761473642;0,00564127295880917;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0112825459176183;0;0,0133683567717029;0;0;0;0;0;0;0;0;0;0,0193645170220458
"neg";0;0;0;0;0;0;0;0,0208333333333333;0,0208333333333333;0;0;0;0;0;0,00798149037074699;0,00798149037074699;0,00798149037074699;0,00798149037074699;0;0;0,0208333333333333;0;0;0;0;0;0;0;0;0;0,0208333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015962980741494;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,0212463444660859;0,0167104459646286;0;0;0;0;0;0,0118293761473642;0,0118293761473642;0,0118293761473642;0,0058001246883352;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0116002493766704;0;0;0;0;0;0;0;0;0;0;0;0,0206554848235155
"pos";0,0317042534171339;0;0;0,0333333333333333;0;0;0;0,0100877169963608;0,0208333333333333;0;0;0,0576440971220616;0;0,0126817013668536;0;0,0138888888888889;0,0138888888888889;0,0138888888888889;0;0,0333333333333333;0,0208333333333333;0;0;0;0;0;0,0333333333333333;0;0;0,0333333333333333;0,0208333333333333;0;0;0;0;0,0333333333333333;0;0,0100877169963608;0,0158521267085669;0,0317042534171339;0;0;0;0;0;0;0;0,0138888888888889;0,0201754339927216;0,0138888888888889;0;0;0;0,0158521267085669;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0,0374219774373274;0;0;0;0,0120522463981883;0;0;0,0390556491277947;0;0;0;0;0,00347855896216027;0,00347855896216027;0,0120522463981883;0;0;0;0;0;0;0;0;0,0273170330348088;0;0;0;0;0;0,0381953050620082;0;0;0,0213893708347246;0;0,0120522463981883;0,0197434104496132;0,0394868208992264;0,0151085512780064;0;0;0;0;0;0;0;0,0241044927963766;0,0120522463981883;0;0;0;0;0;0;0;0;0;0;0;0
"pos";0;0;0;0,0226751096554487;0;0;0;0,00596698420641477;0;0,0107706770863382;0,0226751096554487;0;0;0;0;0;0;0,00596698420641477;0;0;0;0;0;0;0;0;0,0226751096554487;0;0;0;0;0;0;0;0;0;0;0,00596698420641477;0,0119339684128295;0,0238679368256591;0,0226751096554487;0;0;0;0;0;0;0;0,0130299451038037;0,00596698420641477;0;0,0107706770863382;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,017233083338141;0;0;0;0;0;0;0,00562039328704688;0,00562039328704688;0,00562039328704688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,017233083338141
