"TIPO CICLO";"TEST.DI.TENUTA";"TEMPERATURA";"temp.3";"temp.2";"temp.1";"t.9";"t.8";"t.7";"t.6";"t.5";"t.4";"t.32";"t.31";"t.30";"t.3";"t.29";"t.28";"t.27";"t.26";"t.25";"t.24";"t.23";"t.22";"t.21";"t.20";"t.2";"t.19";"t.18";"t.17";"t.16";"t.15";"t.14";"t.13";"t.12";"t.11";"t.10";"t.1";"STERILIZZAZIONE.DINAMICA";"SCARICO";"RISCIACQUO";"PULSANTE.STOP";"PRELEVATO.DA";"NUMERO CICLO";"MISCELAZIONE";"INIZIO CICLO";"FINE.CICLO";"DISINFEZIONE";"DETERSIONE";"CICLO REGOLARE";"CARICO.STERILIZZANTE.2";"CARICO.STERILIZZANTE.1";"CARICO.DETERGENTE";"CARICO.ACQUA";"CAMBIO.TANICA";"ASCIUGATURA";"Allarme.valvole.ingresso.acqua";"Allarme.time.out.scarico.sterilizzante.1";"Allarme.time.out.carico.sterilizzante.1";"Allarme.time.out.carico.acqua";"Allarme.test.di.tenuta";"Allarme.temperatura.minima.acqua";"Allarme.temperatura.massima.acqua";"Allarme.sovrappressione.test.di.tenuta";"Allarme.sensore.giri.spruzzatore";"Allarme.scarico";"Allarme.pressione.minima.test.di.tenuta";"Allarme.pressione.minima.aria";"Allarme.pressione.massima.aria";"Allarme.pressione.acqua";"Allarme.perdita.liquido";"Allarme.canale.7.otturato";"Allarme.canale.7.disconnesso";"Allarme.canale.6.scollegato";"Allarme.canale.6.otturato";"Allarme.canale.5.scollegato";"Allarme.canale.5.otturato";"Allarme.canale.4.scollegato";"Allarme.canale.4.otturato";"Allarme.canale.3.scollegato";"Allarme.canale.3.otturato";"Allarme.canale.2.scollegato";"Allarme.canale.2.otturato";"Allarme.canale.1.scollegato";"Allarme.canale.1.otturato";"Allarme.apertura.vasca";"ALCOOL";"Alarm.spray.arm";"Alarm.selfdisinfection.flow"
"DISINFEZIONE COMPLETA";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"48";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;"1";NA;"07/03/2016 12:12:40";"1";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;"1";NA;"2";NA;"07/03/2016 12:35:03";"1";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;"3";NA;"07/03/2016 12:38:17";NA;NA;NA;1;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DISINFEZIONE COMPLETA";"1";NA;NA;"25";"25";"85";"75";"26";"85";"126";"16";NA;NA;NA;"22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"59";"22";"67";"85";"75";"26";"86";"186";"42";"49";"50";"0";NA;"1";"1";NA;NA;"4";NA;"07/03/2016 12:48:46";"1";"1";"1";1;"1";"1";"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"DISINFEZIONE COMPLETA";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"49";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;"5";NA;"07/03/2016 14:18:17";"1";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;NA;"24";NA;NA;NA;NA;"66";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;"6";NA;"07/03/2016 14:27:38";NA;NA;"1";1;NA;NA;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA
"DISINFEZIONE VELOCE";"1";NA;NA;NA;"25";"144";"25";"85";"186";"43";"50";NA;NA;NA;"48";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;NA;NA;NA;"22";"37";"86";"0";NA;"1";"1";NA;NA;"7";NA;"07/03/2016 14:42:00";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"STERILIZZAZIONE COMPLETA";"1";NA;NA;"24";"25";"85";"144";"25";"85";"144";"16";NA;NA;NA;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;NA;NA;NA;"9";"369";"318";"42";"50";"50";"0";"1";"1";"1";NA;"1";"8";NA;"07/03/2016 15:19:13";"1";NA;"1";0;"1";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"STERILIZZAZIONE VELOCE";"1";NA;NA;NA;"24";"143";"26";"85";"606";"43";"49";NA;NA;NA;"48";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"61";NA;NA;NA;NA;NA;NA;NA;"405";"69";"85";"0";"1";"1";"1";NA;"1";"9";NA;"07/03/2016 15:45:12";"1";NA;NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AUTOSANIFICAZIONE";"1";NA;NA;NA;"28";"26";"85";"601";"67";"43";"47";NA;NA;NA;"46";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20";NA;NA;NA;NA;NA;NA;"135";"69";"85";"98";"0";NA;"1";"1";NA;"1";"10";"1";"08/03/2016 08:07:56";"1";"1";NA;1;"1";"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
