"INIZIO CICLO";"TIPO CICLO";"NUMERO SERIALE";"STRUMENTO";"CATEGORIA";"MATRICOLA";"IDENTIFICATIVO";"OPERATORE";"NUMERO CICLO";"ALLARMI";"testo";"ESITO CICLO"
2016-03-07 12:12:40;"COMPLETE DISINFECTION";"6-0014";"FI-16BS";"FIBROSCOPIO";"G111106";"BLOCCO OP.";"Technical";"1";"Allarme pressione minima test di tenuta";"TIPO CICLO: COMPLETE DISINFECTION TEST DI TENUTA Allarme pressione minima test di tenuta FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-07 12:35:03;"COMPLETE STERILIZATION";"6-0014";"VNL-1570STK";"LARINGOSCOPIO";"G120029";"20";"D.M.";"2";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA PULSANTE STOP FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-07 12:48:46;"COMPLETE DISINFECTION";"6-0014";"VNL-1570STK";"LARINGOSCOPIO";"G120029";"20";"D.M.";"4";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE DISINFECTION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 DISINFEZIONE (180s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA ALCOOL FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-07 14:18:17;"COMPLETE DISINFECTION";"6-0014";"STRIKER";"OTTICA RIGIDA ";"212095";"2";"Technical";"5";"Allarme pressione minima test di tenuta";"TIPO CICLO: COMPLETE DISINFECTION TEST DI TENUTA Allarme pressione minima test di tenuta FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-07 14:42:00;"FAST DISINFECTION";"6-0014";"TJF-160VR";"DUODENOSCOPIO";"0042014";"08";"Technical";"7";"Nessun allarme rilevato";"TIPO CICLO: FAST DISINFECTION TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 DISINFEZIONE (180s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA ALCOOL FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-07 15:19:13;"COMPLETE STERILIZATION";"6-0014";"TJF-160VR";"DUODENOSCOPIO";"0042014";"08";"C.G.";"8";"Allarme canale 7 otturato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) Allarme canale 7 otturato FINE CICLO CICLO IRREGOLARE";"CICLO IRREGOLARE"
2016-03-07 15:45:12;"FAST STERILIZATION";"6-0014";"TJF-160VR";"DUODENOSCOPIO";"0042014";"08";"S.C.";"9";"Nessun allarme rilevato";"TIPO CICLO: FAST STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,24°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-08 08:07:56;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"S.C.";"10";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE (600s,28°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-09 07:40:21;"AUTOSANIFICAZIONE";"6-0014";"0";"0";"";"0";"E.C.O.";"11";"Nessun allarme rilevato";"TIPO CICLO: AUTOSANIFICAZIONE TEST DI TENUTA CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 MISCELAZIONE DISINFEZIONE (600s,27°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
2016-03-09 09:43:59;"COMPLETE STERILIZATION";"6-0014";"EB-1970K";"BRONCOSCOPIO";"G120511";"24";"E.C.A.";"12";"Nessun allarme rilevato";"TIPO CICLO: COMPLETE STERILIZATION TEST DI TENUTA CARICO ACQUA CARICO DETERGENTE DETERSIONE (120s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO CARICO ACQUA CARICO STERILIZZANTE 1 CARICO STERILIZZANTE 2 STERILIZZAZIONE DINAMICA (600s,25°C) SCARICO CARICO ACQUA RISCIACQUO SCARICO ASCIUGATURA FINE CICLO CICLO REGOLARE";"CICLO REGOLARE"
